日期,委托时间,标的,交易类型,成交数量,成交价,成交额,委托数量,平仓盈亏,手续费,,
2011/12/14,9:30:00,中文传媒(600373.XSHG),卖,-1000股,20.57,-20570,-1000股,6570,26.74,,
2011/12/14,9:30:00,天保基建(000965.XSHE),卖,-100股,7.99,-799,-100股,-51.94,5.8,,
2011/12/14,9:30:00,金融街(000402.XSHE),卖,-100股,6,-600,-100股,6,5.6,,
2011/12/14,9:30:00,博汇纸业(600966.XSHG),卖,-200股,5.66,-1132,-200股,-94.15,6.13,,
2011/12/14,9:30:00,开滦股份(600997.XSHG),买,1300股,12.01,15613,1300股,0,5,,
2011/12/14,9:30:00,酒钢宏兴(600307.XSHG),买,4900股,3.85,18865,4900股,0,5.66,,
2011/12/15,9:30:00,天保基建(000965.XSHE),卖,-2700股,7.63,-20601,-2700股,-2374.31,26.78,,
2011/12/15,9:30:00,酒钢宏兴(600307.XSHG),买,100股,3.81,381,100股,0,5,,
2011/12/15,9:30:00,上海汽车(600104.XSHG),买,1500股,12.69,19035,1500股,0,5.71,,
2011/12/16,9:30:00,博汇纸业(600966.XSHG),卖,-3900股,5.42,-21138,-3900股,-2771.85,27.48,,
2011/12/16,9:30:00,酒钢宏兴(600307.XSHG),卖,-5000股,3.7,-18500,-5000股,-746,24.05,,
2011/12/16,9:30:00,开滦股份(600997.XSHG),买,100股,11.35,1135,100股,0,5,,
2011/12/16,9:30:00,龙头股份(600630.XSHG),买,3500股,5.49,19215,3500股,0,5.76,,
2011/12/19,9:30:00,酒钢宏兴(600307.XSHG),买,5100股,3.8,19380,5100股,0,5.81,,
2011/12/20,9:30:00,酒钢宏兴(600307.XSHG),卖,-5100股,3.73,-19023,-5100股,-357,24.73,,
2011/12/20,9:30:00,开滦股份(600997.XSHG),买,100股,11.14,1114,100股,0,5,,
2011/12/20,9:30:00,冠城大通(600067.XSHG),买,2800股,6.5,18200,2800股,0,5.46,,
2011/12/22,9:30:00,冠城大通(600067.XSHG),卖,-2800股,6.21,-17388,-2800股,-812,22.6,,
2011/12/22,9:30:00,金融街(000402.XSHE),买,200股,6.01,1202,200股,0,5,,
2011/12/22,9:30:00,开滦股份(600997.XSHG),买,100股,10.79,1079,100股,0,5,,
2011/12/22,9:30:00,龙头股份(600630.XSHG),买,300股,5.38,1614,300股,0,5,,
